H06	St. Francis of Assisi	G. K. Chesterton
H10	Thomas More: A Portrait of Courage	Gerard B. Wegemer
L01	Lord of the World	Robert Hugh Benson
L05	The Divine Comedy	Dante Alighieri
L06	Christianity and Culture	T. S. Eliot
L07	The Idea of a University	John Newman
L08	Silence	Shusaku Endo
L09	Quo Vadis	Henryk Sienkiewicz
L11	Love in the Ruins	Walker Percy
L15	Flannery O'Connor: Complete Stories	Flannery O'Connor
